datetime,lat,lng,stop_duration,subject_age,subject_height,subject_sex,officer_id_hash,type,violation,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,area_risk,outcome
2013-12-18_08:00:00,-26.145177899999986,28.41238079999998,26.116370516267366,29.0,tall,male,2d20e4fc91,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2016-07-06_08:30:00,-26.286110099999995,28.145394200000027,36.93581694272043,29.0,medium,female,a9b7a026f0,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,citation
2018-09-24_02:07:00,-26.224831099999996,27.86202800000001,31.170110418095202,54.0,medium,female,a18099a66a,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,medium,warning
2013-05-25_10:05:00,-26.179853,27.872147400000003,22.266763766689856,47.0,tall,female,751bb20c68,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2017-07-14_17:29:00,-26.160072800000002,27.973822099999964,26.103894828725636,23.0,medium,female,7e173f3f15,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2012-05-26_15:04:00,-26.067017799999995,28.049044200000026,18.6787506376097,44.0,tall,male,72de0e0089,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2010-01-20_18:36:00,-26.255723599999996,28.110915700000007,27.72799166367223,25.0,medium,female,fd4fabd731,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2010-06-01_15:14:00,-25.982397499999998,32.390022200000004,43.28897906274683,45.0,medium,male,cccd043657,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2010-01-03_18:51:00,-26.6387833,25.872461400000006,29.940973316132574,55.0,medium,male,65019d82f3,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,warning
2014-06-07_19:48:00,-26.068727200000005,28.017461300000008,29.476036817783385,26.0,tall,female,070653f6bf,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2018-09-25_08:20:00,-26.176205699999997,27.935604900000044,47.158532885379245,46.0,tall,female,9e0637d56c,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very high,warning
2017-12-18_15:14:00,-26.0995347,28.00547800000001,17.891824245842177,43.0,tall,male,6dc6599caa,vehicular,registration,,,,False,False,False,False,,registration,high,warning
2011-02-07_18:31:00,-26.3535496,26.44051070000002,19.81406344729643,20.0,medium,female,53d89d125a,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,medium,warning
2012-07-26_23:33:00,-26.1648797,27.980109000000027,38.120016962029496,21.0,medium,female,9edafecd50,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2011-09-12_10:27:00,-26.1557844,28.125763500000005,27.51832035245967,39.0,tall,male,2d306d905c,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2013-06-21_12:41:00,-26.285326999999995,28.089448000000004,15.11932293379569,36.0,medium,female,f6a9921e6e,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2014-07-09_02:48:00,-26.0658503,28.038542400000026,17.425514647691855,60.0,medium,male,31d831c21a,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2011-11-01_15:18:00,-26.2491463,28.01545849999998,18.773252323922996,35.0,tall,female,7b3aa52401,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2014-04-21_20:53:00,-26.207926,28.027581000000026,23.385600034452427,32.0,tall,male,e05e99c1e2,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,citation
2010-04-01_14:00:00,-26.251000499999996,27.77487459999999,31.100728297383874,35.0,tall,male,2c5a97d325,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2010-04-23_18:35:00,-26.3535496,26.44051070000002,25.77607895291943,68.0,medium,female,02b609fa2b,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,arrest
2014-01-13_13:59:00,-26.590188899999987,30.39075699999998,28.84008377733307,42.0,medium,male,0a077e7833,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,warning
2010-10-11_16:08:00,-28.8071118,27.056433700000028,23.81746343304406,37.0,tall,male,41c8075306,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very low,citation
2013-08-15_05:10:00,-26.279260099999995,28.08314509999998,20.45736987222519,57.0,medium,female,a0e960d43b,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2016-04-08_09:01:00,-26.102853499999995,27.894189100000006,32.46694271065437,69.0,tall,male,0c43101255,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,citation
2013-12-13_14:34:00,-26.1461506,27.955948300000003,21.81737685614554,64.0,medium,female,c270bce636,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2017-03-01_10:01:00,-26.152714499999995,27.942244400000007,17.619890894441834,30.0,tall,male,7d6a69a168,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very high,citation
2011-10-11_12:31:00,-26.261993100000005,28.145026700000003,16.895912514197757,41.0,tall,female,dee949df82,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2010-12-09_12:58:00,-26.064633299999997,28.07812420000002,29.840410982154133,57.0,tall,female,c05e130f6a,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,citation
2018-12-24_16:55:00,-26.149360899999998,27.955241600000008,26.423238508330783,19.0,medium,male,c1e876ae44,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,citation
2010-02-18_23:48:00,-26.3535496,26.44051070000002,24.383145596153035,49.0,medium,female,3dc0ec0fc0,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,citation
2013-06-28_13:00:00,-26.895781,17.322176600000006,29.052732812124855,35.0,short,male,9d1e57a193,vehicular,moving traffic violation,False,False,False,False,True,False,True,consent,moving traffic violation,medium,warning
2014-04-03_12:15:00,-27.09048,28.886583,32.40268794252293,32.0,,female,41c8075306,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2013-01-17_09:36:00,-26.895781,17.322176600000006,32.18183549075658,22.0,tall,male,01aa59bb70,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2010-03-27_15:36:00,-26.839437599999997,27.84014709999998,15.724370208769134,28.0,tall,male,224864ab3c,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,medium,warning
2010-06-29_14:56:00,-26.155863299999986,27.979656200000008,40.79497020528525,75.0,medium,female,12d3d862ae,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2014-04-21_10:50:00,-26.209959599999998,30.076572999999982,29.963375156127263,68.0,tall,female,e7099bc91c,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2013-09-30_18:18:00,-27.314649599999996,29.448941000000005,28.52276299129133,25.0,medium,male,eebb8ae650,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,warning
2011-08-13_15:06:00,-26.156638299999997,27.92175179999998,18.296527045527178,28.0,medium,male,a025a02b60,vehicular,seatbelt violation,False,False,False,True,True,True,True,probable cause,seatbelt violation,high,arrest
2012-11-14_16:24:00,-26.1229553,27.93840489999998,37.82096415436731,23.0,medium,male,0a077e7833,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2012-03-28_16:58:00,-26.510289799999995,25.803557499999982,17.526983365887652,25.0,tall,male,bad5ca5683,vehicular,safety violation,,,,False,False,False,False,,safety violation,low,warning
2013-09-05_16:28:00,-26.0111044,28.016832900000026,25.8911463430692,35.0,short,female,82e20fdb7c,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2012-05-04_15:47:00,-26.1561321,27.941333500000027,27.02038254527815,30.0,medium,male,b9fb8b268e,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very high,warning
2011-01-28_11:09:00,-26.209959599999998,30.076572999999982,17.01608358180674,40.0,medium,male,41c8075306,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2011-08-16_03:54:00,-26.828568499999996,28.012031000000007,25.312506041266836,67.0,tall,male,88ef34d431,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2010-05-26_14:44:00,-26.207177199999997,28.100984200000028,34.84046851551288,26.0,medium,male,a09fc76742,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2013-05-28_13:07:00,-26.209959599999998,30.076572999999982,50.02802959907333,18.0,medium,male,ec95a9403e,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2014-05-07_09:50:00,-26.829288599999998,28.643728600000003,25.197897687428018,36.0,tall,male,87dd0e095f,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2010-03-12_03:49:00,-26.815158700000005,30.180024900000006,40.35832014299513,56.0,tall,male,2511466c93,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2010-10-12_11:17:00,-26.1792748,28.063457200000002,27.360473956854154,24.0,tall,male,55206bed29,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2012-10-02_14:41:00,-26.895781,17.322176600000006,37.50979928553547,45.0,tall,male,01aa59bb70,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2014-03-24_10:19:00,-28.8071118,27.056433700000028,35.60808005512841,70.0,tall,male,41c8075306,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very low,warning
2013-02-08_21:17:00,-27.1427914,28.61691709999998,42.720240311881724,26.0,tall,male,56ee11fe67,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,low,warning
2012-03-07_10:45:00,-26.602446399999998,27.769506700000008,29.354148871895696,44.0,tall,male,39c3a6436c,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,citation
2016-05-18_10:05:00,-26.1229553,27.93840489999998,29.621025728261614,39.0,tall,male,6761423fb7,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,citation
2012-01-17_14:35:00,-26.614479199999998,31.22055909999999,23.647095793681867,65.0,medium,male,9d1e57a193,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,medium,warning
2010-12-02_15:13:00,-26.895781,17.322176600000006,19.25056944928964,24.0,tall,male,26ed5dd676,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,medium,warning
2010-08-31_04:06:00,-27.530773100000005,32.45440620000001,25.623371451266916,27.0,short,male,2511466c93,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2014-03-13_17:32:00,-26.186671200000006,27.888226400000008,22.25349618699833,51.0,tall,male,ef32736df1,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2016-01-14_11:02:00,-26.199904099999998,27.829109900000006,13.517169817732533,33.0,tall,male,3c72ff8fdc,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2015-03-27_13:13:00,-26.2777562,28.047367300000005,41.47947356491197,58.0,tall,male,9219efb2c5,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2010-05-19_13:00:00,-26.720174799999995,26.011517400000017,35.415154967473775,25.0,tall,male,c05e130f6a,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2015-11-30_09:20:00,-26.2127031,27.832272500000002,24.975187656302193,35.0,tall,female,7dcd081b3c,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2013-07-09_10:41:00,-26.613766,31.221045599999982,15.838243629077525,25.0,medium,male,01aa59bb70,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2012-11-09_13:16:00,-26.895781,17.322176600000006,20.901561382175302,28.0,medium,female,01aa59bb70,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2012-02-01_09:11:00,-26.613766,31.221045599999982,23.91147917015572,42.0,tall,male,01aa59bb70,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2012-06-15_15:11:00,-26.895781,17.322176600000006,28.03842595442937,35.0,medium,male,01aa59bb70,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2015-05-03_18:08:00,-27.567159699999998,32.46064940000001,40.69593451848997,30.0,short,male,b91f4d2d38,vehicular,safety violation,,,,False,False,False,False,,safety violation,low,warning
2013-07-23_08:13:00,-26.681493100000004,26.603353600000005,31.05529439674966,45.0,tall,male,01aa59bb70,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,medium,warning
2012-10-23_14:05:00,-26.895781,17.322176600000006,15.260447951498941,35.0,tall,male,01aa59bb70,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2011-04-13_18:55:00,-26.166292899999995,27.866487000000006,24.50241411149717,20.0,short,male,299da6fbbd,vehicular,vehicle equipment violation,True,True,False,True,True,True,True,probable cause,vehicle equipment violation,high,arrest
2013-09-22_17:14:00,-26.2783006,31.318647500000026,24.168802804945823,21.0,medium,female,22bf002bac,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2011-09-08_03:17:00,-26.828568499999996,28.012031000000007,22.321009284459734,23.0,medium,male,88ef34d431,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2015-05-27_10:59:00,-26.263959,27.991857400000043,27.53350204003413,42.0,tall,female,e60adece97,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2018-03-30_12:00:00,-26.095037799999986,28.001629800000003,26.29355147410849,72.0,tall,male,33b2c0bf9c,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,citation
2014-01-28_09:27:00,-23.356839099999995,19.490566299999998,28.002231475310897,27.0,short,male,1f5576d831,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,very low,warning
2013-06-18_15:10:00,-26.895781,17.322176600000006,20.648145950612225,46.0,tall,male,9d1e57a193,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2014-10-16_10:54:00,-26.15353850000001,27.954377000000008,15.724803097338823,20.0,short,male,00443cb79c,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2013-01-10_13:27:00,-26.895781,17.322176600000006,23.5905574813157,37.0,tall,male,85402489a1,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2015-09-15_23:45:00,-26.071460199999997,27.97191390000002,18.30125953922572,55.0,medium,male,afd77e9abe,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2013-08-16_13:00:00,-26.278231799999986,28.085180100000002,27.908297996463016,23.0,tall,female,ff68412c8a,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,medium,warning
2012-08-30_21:15:00,-26.200023,27.829146500000007,27.926649189389895,20.0,medium,female,59629c618d,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2010-05-13_14:15:00,-26.2313896,28.070636300000004,21.315135620335646,21.0,tall,female,19615fa2af,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2013-11-12_14:20:00,-26.201369299999996,27.82329910000003,35.173714619345034,54.0,tall,male,96ed2ac24f,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,medium,warning
2012-05-01_09:03:00,-26.613766,31.221045599999982,22.09649050962368,50.0,tall,male,01aa59bb70,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2010-06-21_11:00:00,-26.120936299999997,27.952051000000026,26.338823870076588,39.0,medium,female,bec3fc3967,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2016-05-31_09:37:00,-26.220343299999996,27.99891670000001,26.55278130070374,25.0,short,male,6f4cd28a19,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2016-11-23_08:26:00,-26.264867099999996,21.790914200000003,32.60944017579413,41.0,tall,male,daac2de4a2,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very low,citation
2012-01-29_11:23:00,-26.573164899999995,30.744248499999998,22.608837868431145,50.0,tall,male,4ace4f5618,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,warning
2010-07-19_19:20:00,-28.8071118,27.056433700000028,23.223571018207586,44.0,tall,female,41c8075306,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very low,warning
2013-05-07_14:05:00,-26.895781,17.322176600000006,26.755654558388862,52.0,short,male,9d1e57a193,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2016-04-16_01:47:00,-26.176505,27.943366000000026,26.182486618086255,31.0,tall,male,e143bf684a,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very high,warning
2012-07-31_20:11:00,-26.128819199999995,28.000790100000003,18.627226348802377,52.0,medium,female,774307b2c5,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2013-04-18_13:58:00,-26.895781,17.322176600000006,24.94720254710073,28.0,medium,male,01aa59bb70,vehicular,moving traffic violation,False,False,False,True,True,True,True,consent,moving traffic violation,medium,warning
2010-09-16_19:11:00,-26.0564757,32.39837609999998,28.183305029789842,24.0,medium,male,f26feb9ee6,vehicular,vehicle equipment violation,True,True,False,True,True,True,True,probable cause,vehicle equipment violation,medium,arrest
2014-08-21_21:08:00,-26.1301713,27.963403600000007,33.14739718782425,25.0,medium,female,7aca53bb89,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2012-07-02_09:27:00,-26.078347699999995,28.013752400000044,19.595349089297184,41.0,tall,female,b20d1984d4,vehicular,seatbelt violation,,,,False,False,False,False,,seatbelt violation,high,citation
2018-08-22_22:03:00,-26.167381299999995,27.921751500000028,26.9074890642461,21.0,short,female,2c74a3aef8,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,very high,warning
2012-02-07_15:34:00,-26.895781,17.322176600000006,24.556717911334527,57.0,medium,female,72900f0117,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,citation
2013-07-16_10:31:00,-26.895781,17.322176600000006,19.087488344002594,30.0,short,male,01aa59bb70,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2016-11-15_23:22:00,-27.080030299999997,25.72116690000003,27.424116481605488,20.0,medium,male,bf84a4aed8,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,low,warning
2013-06-12_16:18:00,-26.139170399999998,28.12270350000003,36.210967045758714,59.0,tall,female,df69290668,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2010-04-23_01:36:00,-26.074043099999997,27.996986800000002,27.25344755722516,27.0,tall,female,17dfe3061a,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,citation
2012-07-10_12:59:00,-26.144424299999997,27.92187899999999,26.28321802452657,41.0,medium,male,eb734545cc,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,warning
2010-04-22_02:16:00,-27.530773100000005,32.45440620000001,26.873122815944896,18.0,short,male,2511466c93,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2011-04-21_18:58:00,-26.1476828,27.98498850000003,34.157143192854384,20.0,medium,female,74b3cbfc59,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2012-09-29_03:26:00,-26.1426904,27.957940800000003,27.502182029292115,47.0,tall,female,fb499377e5,vehicular,vehicle equipment violation,False,False,False,True,True,True,True,other,vehicle equipment violation,high,arrest
2010-11-10_14:21:00,-26.153518599999998,28.084582700000027,30.28318125151377,31.0,tall,female,83fbfcfd39,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,citation
2012-02-14_04:43:00,-27.214624999999998,24.68415300000001,27.421503352490824,71.0,tall,male,05a9feba15,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,warning
2014-09-09_13:01:00,-27.09048,28.886583,18.494385518696745,44.0,tall,female,498350de5b,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2013-09-27_13:00:00,-26.613766,31.221045599999982,14.50454106827021,28.0,medium,male,9d1e57a193,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2012-03-21_12:26:00,-26.2837625,28.131226700000028,14.846805484805708,36.0,medium,female,83fbfcfd39,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,citation
2010-03-12_19:43:00,-27.09048,28.886583,27.747240608388914,19.0,tall,male,80e2c428b5,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2010-09-02_04:00:00,-27.530773100000005,32.45440620000001,30.769156234617434,26.0,tall,female,2511466c93,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,warning
2017-09-07_12:13:00,-26.163079999999987,27.927591000000007,28.077729979771803,20.0,medium,female,39e9ad240b,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very high,warning
2012-01-27_04:58:00,-26.618815399999995,25.642435000000006,20.126694862568677,39.0,tall,female,4641ba1563,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,warning
2014-04-11_12:32:00,-26.204200899999996,27.912811200000007,27.10253724753096,43.0,tall,female,deef84d2c2,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very high,warning
2013-11-21_16:48:00,-26.3889147,20.681046500000008,30.072728974611532,42.0,medium,female,72900f0117,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,very low,warning
2011-04-19_03:30:00,-27.530773100000005,32.45440620000001,17.892012973012864,23.0,tall,male,2511466c93,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,warning
2015-07-11_23:39:00,-26.156050999999998,27.941272099999992,40.10888318504881,31.0,medium,male,aad9b31737,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,very high,warning
2010-05-25_23:28:00,-27.130115699999998,27.70056440000002,18.77840113679566,29.0,tall,female,3607f2fc8c,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2012-05-07_05:47:00,-26.065370299999998,28.039792200000008,28.37515949526589,35.0,tall,male,f44021bbca,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,high,warning
2015-03-10_23:19:00,-26.145177899999986,28.41238079999998,27.140595192313214,21.0,medium,male,d3a646e989,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,high,citation
2013-11-19_23:25:00,-27.143620799999987,28.617616100000006,18.521919761138992,65.0,tall,male,1fe511a9f7,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,low,warning
2011-10-11_23:29:00,-26.199610199999995,27.92803490000003,36.17770283197633,63.0,tall,male,e077a1b1fb,vehicular,moving traffic violation,True,False,True,False,True,True,True,other,moving traffic violation,very high,arrest
2012-02-15_09:25:00,-26.613766,31.221045599999982,22.130481154717973,61.0,tall,male,9d1e57a193,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,warning
2015-04-18_19:22:00,-26.2603419,28.008941400000026,39.275273487034426,38.0,short,female,883b5b4087,vehicular,safety violation,,,,False,False,False,False,,safety violation,high,warning
2010-04-19_09:01:00,-27.165469799999997,24.5179155,25.717250306601755,19.0,tall,female,9d1e57a193,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2010-12-29_04:41:00,-27.530773100000005,32.45440620000001,27.18898828022836,38.0,tall,male,2511466c93,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2010-03-27_20:50:00,-23.9382697,25.24148990000002,35.47268451779077,77.0,medium,male,a2fbbbd9d6,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,low,warning
2010-01-26_18:06:00,-26.839437599999997,27.84014709999998,26.59762267482281,33.0,tall,female,2022e55034,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,citation
2013-06-14_14:27:00,-26.613766,31.221045599999982,17.08169404492978,46.0,short,male,01aa59bb70,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,medium,warning
2012-11-25_15:08:00,-27.182400200000004,28.95397810000003,17.494599461296612,22.0,short,female,eebb8ae650,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,warning
2013-09-26_13:36:00,-26.209959599999998,30.076572999999982,25.18281353991378,56.0,tall,male,e7099bc91c,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,low,citation
2013-10-01_13:55:00,-26.251000499999996,27.77487459999999,21.097416655782414,29.0,tall,male,6761423fb7,vehicular,moving traffic violation,,,,False,False,False,False,,moving traffic violation,medium,citation
2010-06-10_12:46:00,-26.209959599999998,30.076572999999982,28.03852758823662,58.0,tall,male,a773a4fff8,vehicular,vehicle equipment violation,,,,False,False,False,False,,vehicle equipment violation,low,citation
