datetime,lat,lng,precinct,stop_duration,subject_age,subject_height,subject_sex,officer_id_hash,type,violation,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,reason_for_stop,area_risk,outcome
2018-06-23_02:28:00,-26.146373499999996,27.983309800000043,2.0,22.91289688470275,27.0,tall,male,1386d24b69,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2015-06-02_23:56:00,-26.1812046,28.06368879999998,5,27.804700550101373,51.0,tall,male,adf5df7aac,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2016-01-18_12:44:00,-26.274894299999985,28.093466500000005,3.0,22.3718770140363,45.0,medium,male,e4ae6c74b9,vehicular,safety violation,,,,False,False,False,False,safety violation,medium,warning
2014-05-13_20:53:00,-26.177855799999996,27.8865416,1.0,33.99874528339398,23.0,tall,female,f5b63ab74a,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2017-01-23_16:42:00,-26.3765347,27.402524500000027,1.0,25.939285946941524,22.0,tall,female,a951ba99dd,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,warning
2015-12-21_20:01:00,-26.149642999999998,27.912091700000005,6.0,24.390156968046067,52.0,medium,male,27e7e8c87e,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2011-01-06_12:35:00,-27.09048,28.886583,3.0,34.80620295774754,27.0,short,male,286c82f645,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,very low,citation
2012-07-11_08:00:00,-26.263631899999986,28.032730500000028,3.0,18.697998656429274,35.0,tall,female,39c3a6436c,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2015-10-13_03:23:00,-26.218829,27.974758300000005,8,26.502000359393318,47.0,tall,male,e24c163b5d,vehicular,safety violation,,,,False,False,False,False,safety violation,high,warning
2012-02-24_10:45:00,-26.602446399999998,27.769506700000008,8.0,23.737000578640245,20.0,medium,male,4d037c592b,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2013-12-23_23:38:00,-26.11446,28.010254000000003,2.0,17.93052500879709,18.0,tall,female,45e86ca572,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2011-01-13_02:43:00,-27.530773100000005,32.45440620000001,8.0,26.644736504850197,22.0,short,male,2511466c93,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,low,warning
2012-08-23_23:00:00,-26.169774799999992,27.947061200000007,4.0,17.78689962608404,55.0,medium,female,24c32d13ef,vehicular,registration,,,,False,False,False,False,registration,very high,warning
2012-05-06_16:25:00,-26.3765347,27.402524500000027,1.0,26.024798560699566,25.0,tall,male,1c93966b10,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,low,warning
2014-09-10_06:36:00,-26.223727099999998,28.0569969,5.0,20.68191250284611,49.0,medium,female,cf07ed6f7d,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2017-02-06_19:42:00,-26.1229431,27.934000300000008,6.0,29.09188795682672,20.0,medium,female,d3a646e989,vehicular,moving traffic violation,False,False,False,False,True,True,False,moving traffic violation,high,arrest
2011-09-09_10:50:00,-26.602446399999998,27.769506700000008,8.0,23.481343228965518,71.0,tall,male,39c3a6436c,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2016-06-06_17:25:00,-26.2749083,27.98733120000003,8.0,23.7974930852208,37.0,medium,female,0535f8bb5a,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2016-09-23_11:41:00,-26.209959599999998,30.076572999999982,8,33.93961480253859,37.0,tall,male,498350de5b,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2011-08-06_00:53:00,-26.3765347,27.402524500000027,1.0,29.315266102753956,29.0,medium,male,d098ec755c,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2016-02-12_10:55:00,-26.1750464,28.064747300000008,5.0,36.534394380036346,32.0,medium,male,fbdc8fe5b9,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2014-05-13_16:16:00,-26.1615963,27.912915400000017,6.0,27.9369219341712,25.0,tall,female,cbaf8cc4c2,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2011-02-02_02:47:00,-27.530773100000005,32.45440620000001,8.0,28.76975955258411,47.0,tall,male,2511466c93,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,low,warning
2013-01-15_08:27:00,-26.177814499999997,27.887794600000007,1.0,35.76481434837729,58.0,medium,female,a2278aae28,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2012-05-04_09:53:00,-26.282307399999986,28.072522300000003,3,31.95752953374816,18.0,medium,male,77edf3dc3b,vehicular,investigative stop,,,,False,False,False,False,investigative stop,medium,warning
2015-08-04_23:29:00,-26.3765347,27.402524500000027,1.0,13.71954109279406,27.0,tall,male,43a72bc466,vehicular,investigative stop,True,False,True,False,True,True,True,investigative stop,low,arrest
2015-05-28_04:59:00,-26.3765347,27.402524500000027,1.0,28.5216568791094,59.0,tall,male,4c7e26f974,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,warning
2016-08-04_13:58:00,-26.209959599999998,30.076572999999982,8.0,36.432476588930385,25.0,medium,female,498350de5b,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2013-03-29_23:32:00,-26.0481888,28.008813900000007,7.0,24.17739421840955,38.0,medium,female,14851a97f4,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2016-03-03_17:32:00,-26.239686499999998,28.10348709999998,5,34.024214371233505,50.0,medium,female,963f2c3d0d,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2013-01-25_18:58:00,-26.218811399999986,27.918717000000044,1.0,35.38925574064204,67.0,medium,male,4e338c16a2,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2014-04-14_12:11:00,-26.3765347,27.402524500000027,1.0,32.0737375676613,34.0,tall,male,3800f77872,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2017-04-30_10:22:00,-26.1462047,27.98163959999998,2.0,44.38357215343443,35.0,medium,female,1d683e1215,vehicular,safety violation,,,,False,False,False,False,safety violation,high,citation
2018-09-08_16:11:00,-26.1518577,27.97835759999998,2.0,25.896379298338132,23.0,medium,male,95d8a19b5a,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,very high,warning
2013-05-04_21:48:00,-26.154431599999995,27.96847409999998,2,39.927202933708514,25.0,medium,female,371e3d97ba,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,very high,warning
2010-12-02_12:48:00,-27.09048,28.886583,3.0,19.52781587074146,31.0,tall,male,286c82f645,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,very low,citation
2015-09-04_12:41:00,-27.09048,28.886583,3,28.936527959896566,22.0,tall,male,a9b7a026f0,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,very low,warning
2012-04-04_06:22:00,-26.602446399999998,27.769506700000008,8.0,36.70882153112183,60.0,tall,male,41c8075306,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2010-04-05_18:45:00,-26.175143,28.10441200000001,5.0,29.997669012022186,20.0,tall,female,286c82f645,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,citation
2018-02-04_00:44:00,-26.146318299999997,28.119319500000003,5.0,32.96089234748815,61.0,tall,female,7820669585,vehicular,investigative stop,False,False,False,False,True,True,False,investigative stop,medium,arrest
2012-09-15_01:26:00,-26.064147299999995,28.018970400000043,7.0,38.58149387368313,24.0,tall,female,c213187829,vehicular,investigative stop,,,,False,False,False,False,investigative stop,high,warning
2011-09-19_14:57:00,-26.1749189,27.897034100000027,1,42.99015630318192,25.0,tall,male,a13c40db73,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2012-03-22_19:19:00,-26.152213899999985,27.924050100000002,6.0,20.855579393317058,43.0,medium,female,4ff9d8c9ea,vehicular,parking violation,,,,False,False,False,False,parking violation,high,warning
2010-11-30_16:26:00,-26.067163,28.04275140000003,7.0,21.57911757155304,41.0,tall,male,4d8c33198b,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2012-03-30_04:44:00,-26.04007889999999,28.026068100000003,7.0,23.79309420039748,50.0,tall,male,db192e186d,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2013-08-23_12:57:00,-26.602446399999998,27.769506700000008,8.0,28.558765392368535,40.0,tall,female,e7099bc91c,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2012-01-20_10:30:00,-26.209959599999998,30.076572999999982,8.0,25.973367307750802,74.0,tall,male,a951ba99dd,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,warning
2016-07-22_12:13:00,-26.174320699999996,27.890241200000006,1.0,15.824618291929616,24.0,tall,female,f1c025f95c,vehicular,safety violation,,,,False,False,False,False,safety violation,medium,warning
2017-09-02_16:30:00,-26.1922025,27.87226959999998,1.0,25.0355095745658,54.0,tall,male,e1ebf60eeb,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2017-04-21_20:25:00,-26.285226399999992,28.00519579999998,8.0,28.012695617440723,31.0,medium,female,4e622eb289,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2014-10-14_16:05:00,-26.171464899999997,27.875167900000008,1.0,20.69410177882431,35.0,tall,female,8446a2fbf7,vehicular,safety violation,,,,False,False,False,False,safety violation,medium,warning
2015-04-03_23:32:00,-26.057228599999995,28.019859200000027,7.0,32.735772565378674,38.0,tall,female,6338965ec0,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2012-12-12_14:02:00,-26.14295179999999,28.098957100000007,5.0,26.658363751947288,72.0,tall,female,099216fe9c,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2018-01-20_10:59:00,-26.0947939,28.122018200000028,5.0,39.46373787282533,64.0,tall,female,d3a646e989,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,citation
2012-01-13_09:05:00,-26.602446399999998,27.769506700000008,8.0,30.914948478798358,42.0,medium,female,41c8075306,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,warning
2018-04-07_02:48:00,-26.176782799999998,27.96043650000003,4.0,20.15069002783775,50.0,tall,male,350bac3344,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,very high,warning
2010-08-04_18:55:00,-26.176354299999986,28.03975810000003,5.0,34.518192769087385,32.0,tall,male,41c8075306,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,citation
2011-08-05_13:27:00,-26.1390757,28.114805599999983,5.0,42.261898640887836,18.0,medium,female,d195198c56,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2010-08-25_01:47:00,-26.122133699999992,28.118428500000007,5.0,26.240651853827536,22.0,medium,female,95b17cd499,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2012-10-23_06:43:00,-26.3765347,27.402524500000027,1.0,31.077047017473397,26.0,tall,female,a951ba99dd,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2014-01-16_04:28:00,-26.095037799999986,28.001629800000003,2.0,48.004489750143634,45.0,tall,male,acffed52bf,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2018-05-20_17:23:00,-26.17280439999999,27.89415790000001,1.0,24.895055253115054,35.0,medium,female,b541004824,vehicular,safety violation,False,False,False,False,True,True,False,safety violation,medium,arrest
2016-05-09_13:32:00,-26.127399699999998,28.123274200000026,5.0,31.002500462177185,26.0,tall,female,9d41edf114,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2011-02-26_19:29:00,-26.15773529999999,27.864781800000003,1,16.537180932611925,33.0,tall,male,ab916fb13f,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2014-08-20_09:48:00,-26.3765347,27.402524500000027,1.0,28.954785795657685,62.0,tall,male,825f6ab981,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,warning
2014-01-01_12:52:00,-26.078347699999995,28.013752400000044,7.0,16.550446886871537,28.0,short,male,4f1d028e45,vehicular,seatbelt violation,,,,False,False,False,False,seatbelt violation,high,citation
2010-03-26_08:12:00,-26.2817929,28.027156100000028,3.0,40.75747967255569,54.0,tall,female,4ba28a89d9,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2017-08-22_13:56:00,-26.1405977,27.99371620000001,2.0,35.49709904239833,66.0,tall,male,66dc2b43f6,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2012-08-22_00:30:00,-26.24507530000001,28.026594900000006,3.0,26.11268229722043,35.0,tall,male,1d17ac8627,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2010-03-08_11:40:00,-26.086056,27.97330790000001,7.0,27.848097605344545,32.0,medium,male,fae11c1b48,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,citation
2017-11-26_23:56:00,-26.1255437,28.123586400000008,5.0,22.879804923086624,34.0,tall,male,3b079b5949,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2016-03-09_13:29:00,-26.602446399999998,27.769506700000008,8.0,22.506189688577834,31.0,tall,female,1b56d08e5c,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2016-01-24_23:48:00,-26.2709112,28.013838600000028,8.0,45.8469887020614,21.0,tall,male,c4348d7474,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2011-08-26_02:43:00,-26.1114023,27.96768060000001,2.0,30.006787261604025,34.0,tall,female,4af3cba1d7,vehicular,investigative stop,False,False,False,False,True,False,True,investigative stop,high,arrest
2010-03-05_03:22:00,-26.284276499999997,28.055644600000008,3,22.610640196400563,20.0,medium,male,faf7fd2318,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,citation
2010-10-29_23:47:00,-26.177814499999997,27.887794600000007,1.0,33.115734108614525,22.0,tall,male,57f6131079,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2012-04-25_11:51:00,-26.222807299999985,28.10036500000001,5.0,25.57629058089266,35.0,tall,male,963f2c3d0d,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,citation
2016-03-18_20:28:00,-26.20351260000001,27.95428170000001,8.0,31.85175965088385,40.0,tall,female,42d656ccc7,vehicular,vehicle equipment violation,True,True,False,True,True,True,True,vehicle equipment violation,high,arrest
2014-02-17_08:18:00,-26.15555429999999,27.987730400000004,2.0,34.54321090309728,26.0,short,,58251cd0f4,vehicular,safety violation,,,,False,False,False,False,safety violation,very high,warning
2011-08-16_01:29:00,-26.246334999999995,28.02433330000001,3.0,28.969470246878757,19.0,tall,male,1d17ac8627,vehicular,moving traffic violation,False,False,False,False,True,True,True,moving traffic violation,high,citation
2016-04-27_13:15:00,-26.602446399999998,27.769506700000008,8.0,15.185245668342471,37.0,tall,male,b908cb6e33,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2010-05-30_10:14:00,-26.2056928,28.033571300000006,5.0,29.579294397853992,37.0,tall,female,2090ca4211,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2012-05-13_22:49:00,-26.255297,27.81112420000001,1.0,25.45894497544238,31.0,tall,male,a78a8696a9,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2014-03-28_17:07:00,-26.177549899999995,27.956815500000005,4.0,21.048003419082107,72.0,tall,male,2516786674,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,very high,warning
2017-11-12_18:17:00,-26.136039299999986,27.969525500000003,2.0,23.941237138959362,50.0,medium,female,556b2abc49,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2010-06-07_23:30:00,-26.1462047,27.98163959999998,2.0,24.173574305753206,34.0,tall,female,6e95f38057,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2013-07-23_14:36:00,-26.3765347,27.402524500000027,1.0,39.189900042911866,33.0,tall,female,daac2de4a2,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2014-05-28_04:50:00,-26.1370998,27.928250000000006,6.0,22.272323896278824,35.0,tall,male,a60a361c7c,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2012-02-02_18:25:00,-26.209269899999995,27.934903300000002,8.0,22.484277432597572,20.0,tall,female,57f6131079,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,citation
2017-06-02_13:05:00,-26.151117699999986,27.934898200000006,6.0,32.23222029211842,27.0,medium,male,6c7b2369d7,vehicular,vehicle equipment violation,True,True,False,False,True,True,True,vehicle equipment violation,high,arrest
2011-06-09_17:16:00,-26.1459281,27.936295900000005,6.0,22.464438890682167,42.0,medium,male,65019d82f3,vehicular,investigative stop,,,,False,False,False,False,investigative stop,high,warning
2013-09-26_14:08:00,-26.602446399999998,27.769506700000008,8,22.140908778699483,28.0,tall,male,a951ba99dd,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2013-10-09_07:36:00,-26.602446399999998,27.769506700000008,8.0,14.28374354138113,50.0,tall,female,6074f7bab3,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2014-04-25_01:38:00,-26.1462047,27.98163959999998,2.0,27.155720942123125,49.0,tall,male,3e1390eb12,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2017-06-03_01:17:00,-26.137324199999995,28.12778840000003,5.0,26.930643206945327,23.0,tall,female,ebfe43e91e,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2010-04-20_11:25:00,-26.161660499999996,27.92384340000001,6.0,17.71328023065446,42.0,medium,female,40d9b62eac,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2015-08-03_22:53:00,-26.265215999999995,28.101527700000005,3.0,28.182447212815546,19.0,medium,male,9310569e50,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2016-01-27_15:53:00,-23.211566499999996,37.19460319999999,5.0,25.19571344041112,42.0,tall,male,dc721048d8,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2018-08-31_18:12:00,-26.067541899999995,28.040186300000002,7.0,26.51213483437895,23.0,medium,male,c2231e79ed,vehicular,vehicle equipment violation,False,False,False,False,True,True,False,vehicle equipment violation,high,arrest
2014-09-11_12:39:00,-27.09048,28.886583,3.0,30.922143490805496,64.0,tall,male,498350de5b,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,very low,citation
2011-10-12_11:12:00,-26.160548299999995,27.92338140000001,6,32.19990326266319,44.0,tall,female,e7d36ee1fa,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2011-07-13_15:03:00,-26.175893799999997,27.952193400000027,4.0,38.605345661311794,18.0,medium,female,77770d30d7,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,very high,citation
2017-11-01_09:21:00,-26.22356779999999,27.807765500000002,1.0,25.628113513825593,20.0,medium,female,cc109f0f38,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2011-01-16_16:22:00,-26.170634399999997,27.949033299999982,4.0,28.575061784253716,27.0,tall,female,b9fb8b268e,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,very high,warning
2014-04-19_21:11:00,-26.2773794,28.05687659999998,3.0,33.07917945455189,30.0,short,male,e8f7a2d6ff,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,citation
2010-11-15_12:15:00,-26.0715656,28.016452700000002,7.0,44.624460355807734,30.0,short,male,0e1022b041,vehicular,investigative stop,,,,False,False,False,False,investigative stop,high,citation
2017-05-30_10:35:00,-26.1852875,27.966330199999987,3.0,23.58346702188248,46.0,tall,male,e4ae6c74b9,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,very high,warning
2013-11-26_18:12:00,-26.17280439999999,27.89415790000001,1.0,26.820410816097823,45.0,medium,female,8f564c22fd,vehicular,safety violation,False,False,False,True,True,True,True,safety violation,medium,arrest
2014-08-21_03:04:00,-26.176927499999998,27.887474400000016,1.0,9.194057996070029,28.0,tall,male,4c7e26f974,vehicular,registration,False,False,False,True,True,True,True,registration,medium,arrest
2018-08-14_12:06:00,-26.033679399999997,28.019060800000005,7.0,16.492089740711712,40.0,tall,male,498350de5b,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,citation
2014-06-03_16:33:00,-26.1601765,28.049587099999982,5.0,36.07800400766223,25.0,tall,male,41c8075306,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2016-12-16_10:56:00,-26.192988999999997,28.005044000000026,5,25.953829668578567,43.0,tall,female,498350de5b,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,citation
2015-07-14_15:03:00,-26.602446399999998,27.769506700000008,3.0,15.85548342483087,26.0,medium,female,498350de5b,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,low,citation
2013-03-28_18:45:00,-26.3765347,27.402524500000027,1.0,26.72818304103383,28.0,tall,male,1fdfb2a60c,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,warning
2014-06-26_23:54:00,-26.173416699999997,27.942547200000007,4.0,27.569908046130003,45.0,tall,male,17e2b951bd,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,high,warning
2013-04-24_12:20:00,-26.602446399999998,27.769506700000008,8.0,26.5566618227857,45.0,tall,female,41c8075306,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,citation
2011-07-12_14:15:00,-26.140497099999997,27.8922996,6.0,35.360986689400754,27.0,medium,female,80ed1b32eb,vehicular,investigative stop,,,,False,False,False,False,investigative stop,high,warning
2012-03-16_14:05:00,-26.11269029999999,28.03674070000001,5.0,16.94452427570241,18.0,tall,female,5bc5bf609d,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,citation
2017-05-01_02:57:00,-26.263880199999996,28.043110200000044,3.0,19.45240049756517,31.0,short,male,cf40e1ce72,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2010-09-29_01:17:00,-27.530773100000005,32.45440620000001,8.0,23.432476380957176,59.0,tall,male,2511466c93,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,low,warning
2012-03-08_11:34:00,-26.198486699999997,27.918009700000027,8.0,28.553776741483695,36.0,tall,female,cfa3f85a33,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,high,warning
2011-06-19_12:31:00,-26.213297599999997,28.061781100000005,5.0,28.85346395107297,35.0,tall,female,96ed2ac24f,vehicular,investigative stop,,,,False,False,False,False,investigative stop,medium,warning
2011-01-03_19:20:00,-26.1779292,27.859526099999982,1.0,26.934300995665488,17.0,short,female,3c72ff8fdc,vehicular,investigative stop,False,False,False,False,True,False,True,investigative stop,medium,arrest
2010-08-18_22:00:00,-26.3765347,27.402524500000027,1.0,22.690214866560748,24.0,tall,female,9d1e57a193,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,low,warning
2015-04-20_19:13:00,-26.156198099999997,27.96719619999999,2.0,18.666269475261032,38.0,tall,male,e8a7e22447,vehicular,registration,,,,False,False,False,False,registration,very high,warning
2018-01-25_12:14:00,-26.232094599999996,27.80427729999998,1.0,29.738673231070432,22.0,medium,male,393639dfae,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,medium,warning
2016-03-29_23:53:00,-26.255007,27.798880100000005,1.0,21.301489282357746,22.0,tall,female,a78a8696a9,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2016-02-09_08:00:00,-26.147713699999997,28.122005000000044,5.0,26.598631736134994,36.0,tall,female,596bd1105e,vehicular,vehicle equipment violation,,,,False,False,False,False,vehicle equipment violation,medium,warning
2012-10-30_14:40:00,-26.895781,17.322176600000006,5.0,21.44622373728826,31.0,tall,female,6761423fb7,vehicular,moving traffic violation,,,,False,False,False,False,moving traffic violation,very low,warning
2018-07-14_21:01:00,-26.164375899999996,27.90977979999998,6.0,27.231577059617035,26.0,medium,male,20b7054cf4,vehicular,safety violation,False,False,False,False,True,True,True,safety violation,high,arrest
2011-04-18_03:00:00,-27.530773100000005,32.45440620000001,8.0,27.51516799259181,19.0,medium,female,2511466c93,vehicular,moving traffic violation,False,False,False,False,True,True,False,moving traffic violation,low,arrest
